date,open,high,low,close,volume,openinterest
2017/1/3,196.141,198.861,194.671,196.421,20763,0
2017/1/4,196.481,214.031,196.461,213.771,65257,0
2017/1/5,211.861,213.311,207.301,208.601,41704,0
2017/1/6,208.501,221.641,207.961,212.621,68095,0
2017/1/9,209.661,214.741,208.401,210.371,35405,0
2017/1/10,210.311,213.861,208.461,210.861,31727,0
2017/1/11,209.861,209.861,205.361,207.311,23598,0
2017/1/12,208.411,209.261,206.371,208.911,17779,0
2017/1/13,208.841,209.251,205.741,206.731,18282,0
2017/1/16,205.991,206.661,200.661,203.331,36855,0
2017/1/17,204.461,213.361,203.861,210.991,35188,0
2017/1/18,210.741,218.631,209.071,216.941,46005,0
2017/1/19,216.861,220.341,213.561,216.581,28523,0
2017/1/20,216.761,219.261,214.891,216.851,21344,0
2017/1/23,218.741,221.661,211.321,213.081,32581,0
2017/1/24,213.131,214.661,208.611,212.171,26914,0
2017/1/25,211.841,211.841,208.061,209.491,22990,0
2017/1/26,210.001,210.661,203.161,206.281,37826,0
