date,open,high,low,close,volume,openinterest
2017-01-03,196.141,198.861,194.671,196.421,20763.0,0
2017-01-04,196.481,214.031,196.461,213.771,65257.0,0
2017-01-05,211.861,213.311,207.301,208.601,41704.0,0
2017-01-06,208.501,221.641,207.961,212.621,68095.0,0
2017-01-09,209.661,214.741,208.401,210.371,35405.0,0
2017-01-10,210.311,213.861,208.461,210.861,31727.0,0
2017-01-11,209.861,209.861,205.361,207.311,23598.0,0
2017-01-12,208.411,209.261,206.371,208.911,17779.0,0
2017-01-13,208.841,209.251,205.741,206.731,18282.0,0
2017-01-16,205.991,206.661,200.661,203.331,36855.0,0
2017-01-17,204.461,213.361,203.861,210.991,35188.0,0
2017-01-18,210.741,218.631,209.071,216.941,46005.0,0
2017-01-19,216.861,220.341,213.561,216.581,28523.0,0
2017-01-20,216.761,219.261,214.891,216.851,21344.0,0
2017-01-23,218.741,221.661,211.321,213.081,32581.0,0
2017-01-24,213.131,214.661,208.611,212.171,26914.0,0
2017-01-25,211.841,211.841,208.061,209.491,22990.0,0
2017-01-26,210.001,210.661,203.161,206.281,37826.0,0
2017-02-03,207.861,211.041,206.861,208.711,20936.0,0
2017-02-06,210.351,210.751,206.821,208.711,15680.0,0
2017-02-07,208.701,209.261,205.001,205.441,20519.0,0
2017-02-08,205.621,207.361,204.531,206.071,19088.0,0
2017-02-09,206.861,210.651,206.471,209.471,23324.0,0
2017-02-10,210.481,211.681,206.861,206.941,24056.0,0
2017-02-13,205.861,213.761,203.781,211.611,53587.0,0
2017-02-14,211.401,214.461,210.961,212.071,26558.0,0
2017-02-15,213.361,214.301,209.061,210.391,26256.0,0
2017-02-16,210.361,210.481,207.371,209.951,17642.0,0
2017-02-17,210.761,216.301,209.361,212.421,29102.0,0
2017-02-20,212.271,224.181,211.871,223.151,61853.0,0
2017-02-21,223.741,224.291,219.041,220.601,27705.0,0
2017-02-22,222.471,228.381,221.861,223.751,37130.0,0
2017-02-23,222.831,227.341,221.621,223.561,23328.0,0
2017-02-24,223.861,224.751,221.911,224.481,17692.0,0
2017-02-27,224.351,224.711,218.661,219.061,25400.0,0
2017-02-28,218.861,221.061,215.441,216.521,27473.0,0
2017-03-01,216.961,220.061,216.861,218.471,21944.0,0
2017-03-02,218.571,218.861,216.391,218.681,22103.0,0
2017-03-03,216.861,220.081,216.861,218.401,14153.0,0
2017-03-06,219.521,221.401,218.411,220.821,22818.0,0
2017-03-07,219.891,230.741,219.891,229.061,46286.0,0
2017-03-08,229.041,230.351,227.361,229.141,16037.0,0
2017-03-09,228.861,231.841,227.421,231.761,23406.0,0
2017-03-10,231.781,238.861,230.221,231.711,40951.0,0
2017-03-13,231.911,236.191,229.391,233.411,27674.0,0
2017-03-14,233.411,235.711,230.201,231.361,20416.0,0
2017-03-15,231.361,237.011,230.871,236.541,25155.0,0
2017-03-16,238.421,240.161,234.661,236.631,25022.0,0
2017-03-17,234.961,246.311,234.961,240.341,34700.0,0
2017-03-20,242.361,248.571,240.741,248.271,31545.0,0
2017-03-21,248.411,258.361,248.361,255.871,48460.0,0
2017-03-22,252.391,256.461,246.861,256.341,45532.0,0
2017-03-23,253.891,255.851,248.461,251.651,34504.0,0
2017-03-24,254.181,255.081,246.861,248.681,33287.0,0
2017-03-27,247.891,251.121,240.251,240.681,53690.0,0
2017-03-28,241.811,243.011,238.521,242.121,41187.0,0
2017-03-29,242.871,247.661,241.761,245.511,37299.0,0
2017-03-30,244.861,248.751,244.461,248.001,31612.0,0
2017-03-31,248.061,249.861,246.041,248.221,24474.0,0
2017-04-05,247.521,256.851,246.861,251.521,40789.0,0
2017-04-06,250.871,254.861,248.491,253.771,28857.0,0
2017-04-07,254.851,255.861,251.461,254.731,24097.0,0
2017-04-10,255.861,255.861,249.861,251.061,28869.0,0
2017-04-11,249.911,252.561,242.461,247.151,43530.0,0
2017-04-12,247.151,252.861,246.661,252.091,27002.0,0
2017-04-13,252.641,260.451,252.371,260.251,45648.0,0
2017-04-14,261.291,261.741,256.861,257.311,23646.0,0
2017-04-17,252.861,260.141,250.411,257.651,28793.0,0
2017-04-18,256.461,268.411,256.461,266.511,49581.0,0
2017-04-19,264.861,270.961,264.721,267.601,37550.0,0
2017-04-20,267.951,282.291,267.951,277.171,50457.0,0
2017-04-21,276.861,277.461,261.861,262.391,49332.0,0
2017-04-24,262.481,266.861,250.861,260.411,50037.0,0
2017-04-25,266.661,282.031,266.661,280.751,76192.0,0
2017-04-26,280.711,290.541,274.871,279.821,56624.0,0
2017-04-27,277.391,283.831,272.291,283.301,28240.0,0
2017-04-28,283.851,284.861,271.761,275.341,49505.0,0
2017-05-02,273.461,276.861,271.041,273.941,23291.0,0
2017-05-03,272.861,279.521,272.861,279.471,20267.0,0
2017-05-04,276.491,280.341,276.491,277.861,26709.0,0
2017-05-05,278.061,284.641,276.961,278.051,37437.0,0
2017-05-08,278.041,278.861,266.581,267.341,40721.0,0
2017-05-09,266.301,271.741,259.861,270.621,52801.0,0
2017-05-10,270.261,276.301,268.881,271.951,26039.0,0
2017-05-11,270.261,276.561,268.371,274.021,30467.0,0
2017-05-12,275.451,277.161,271.871,275.331,22337.0,0
2017-05-15,274.981,282.211,274.981,281.411,33447.0,0
2017-05-16,281.461,293.081,280.121,291.981,50164.0,0
2017-05-17,290.861,292.051,286.741,288.461,27515.0,0
2017-05-18,286.911,292.561,286.871,291.401,24300.0,0
2017-05-19,291.431,303.661,291.431,302.681,38310.0,0
2017-05-22,300.901,307.871,298.061,303.641,35321.0,0
2017-05-23,304.111,316.331,304.111,316.061,48454.0,0
2017-05-24,314.761,318.341,307.861,312.181,40226.0,0
2017-05-25,310.571,314.821,309.361,312.461,28898.0,0
2017-05-26,312.681,317.461,309.861,313.781,27386.0,0
2017-05-31,311.861,312.361,301.971,304.801,44312.0,0
2017-06-01,304.361,311.811,302.871,311.141,40604.0,0
2017-06-02,311.861,312.811,307.461,309.171,21785.0,0
2017-06-05,309.901,310.861,304.211,306.271,19241.0,0
2017-06-06,306.831,310.861,306.061,310.681,20402.0,0
2017-06-07,310.981,321.861,310.981,321.231,38834.0,0
2017-06-08,323.181,326.261,320.361,326.171,28951.0,0
2017-06-09,326.101,332.661,324.861,327.601,31430.0,0
2017-06-12,328.861,337.301,326.861,334.741,35109.0,0
2017-06-13,334.911,336.361,328.861,334.901,24237.0,0
2017-06-14,334.651,339.361,332.341,336.251,33768.0,0
2017-06-15,336.861,337.341,325.861,326.161,50202.0,0
2017-06-16,323.361,329.351,323.121,324.491,33331.0,0
2017-06-19,323.821,332.251,323.821,332.031,38536.0,0
2017-06-20,334.861,336.741,327.521,328.161,34505.0,0
2017-06-21,331.411,334.861,327.891,334.571,42038.0,0
2017-06-22,334.881,339.791,333.061,334.611,38242.0,0
2017-06-23,334.721,336.741,330.191,334.591,31303.0,0
2017-06-26,334.871,346.861,333.861,346.541,52932.0,0
2017-06-27,344.681,346.861,342.711,345.961,27980.0,0
2017-06-28,345.951,345.951,334.861,337.161,37728.0,0
2017-06-29,338.161,339.211,331.861,334.871,35092.0,0
2017-06-30,333.371,336.021,329.661,333.711,22427.0,0
